Fondsposition per,"17.Sept.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"2628","CHINA LIFE INSURANCE LTD H","Finanzwesen","Aktien","91.049.037,36","0,20","91.049.037,36","24.942.000,00","3,65","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"AXISBANK","AXIS BANK","Finanzwesen","Aktien","90.952.247,04","0,20","90.952.247,04","7.036.880,00","12,93","Indien","National Stock Exchange Of India","INR"
"GFNORTEO","GPO FINANCE BANORTE","Finanzwesen","Aktien","89.514.050,59","0,19","89.514.050,59","7.846.954,00","11,41","Mexiko","Bolsa Mexicana De Valores","MXN"
"BAP","CREDICORP LTD","Finanzwesen","Aktien","88.511.227,12","0,19","88.511.227,12","230.522,00","383,96","Peru","New York Stock Exchange Inc.","USD"
"012450","HANWHA AEROSPACE LTD","Industrie","Aktien","88.332.458,29","0,19","88.332.458,29","111.253,00","793,98","Korea","Korea Exchange (Stock Market)","KRW"
"BAJFINANCE","BAJAJ FINANCE LTD","Finanzwesen","Aktien","87.633.663,79","0,19","87.633.663,79","8.283.108,00","10,58","Indien","National Stock Exchange Of India","INR"
"086790","HANA FINANCIAL GROUP","Finanzwesen","Aktien","87.541.915,46","0,19","87.541.915,46","879.653,00","99,52","Korea","Korea Exchange (Stock Market)","KRW"
"2327","YAGEO","IT","Aktien","86.941.201,85","0,19","86.941.201,85","5.239.892,00","16,59","Taiwan","Taiwan Stock Exchange","TWD"
"857","PETROCHINA H","Energie","Aktien","84.766.840,22","0,18","84.766.840,22","69.566.000,00","1,22","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2899","ZIJIN MINING GROUP LTD H","Materialien","Aktien","84.675.355,13","0,18","84.675.355,13","19.620.000,00","4,32","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SBK","STANDARD BANK GROUP","Finanzwesen","Aktien","82.658.018,79","0,18","82.658.018,79","4.316.382,00","19,15","Südafrika","Johannesburg Stock Exchange","ZAR"
"3968","CHINA MERCHANTS BANK H","Finanzwesen","Aktien","82.547.199,99","0,18","82.547.199,99","12.624.492,00","6,54","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"FAB","FIRST ABU DHABI BANK","Finanzwesen","Aktien","82.345.316,75","0,18","82.345.316,75","15.091.916,00","5,46","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
"LT","LARSEN AND TOUBRO LTD","Industrie","Aktien","79.795.919,00","0,17","79.795.919,00","1.995.574,00","39,99","Indien","National Stock Exchange Of India","INR"
"006400","SAMSUNG SDI LTD","IT","Aktien","78.582.076,50","0,17","78.582.076,50","201.434,00","390,11","Korea","Korea Exchange (Stock Market)","KRW"
"VAL","VALTERRA PLATINUM LTD","Materialien","Aktien","78.535.479,94","0,17","78.535.479,94","872.000,00","90,06","Südafrika","Johannesburg Stock Exchange","ZAR"
"2885","YUANTA FINANCIAL HOLDING","Finanzwesen","Aktien","78.417.060,27","0,17","78.417.060,27","36.233.796,00","2,16","Taiwan","Taiwan Stock Exchange","TWD"
"2360","CHROMA ATE INC","IT","Aktien","78.279.463,66","0,17","78.279.463,66","1.197.000,00","65,40","Taiwan","Taiwan Stock Exchange","TWD"
"CPI","CAPITEC SHS","Finanzwesen","Aktien","78.049.474,97","0,17","78.049.474,97","282.902,00","275,89","Südafrika","Johannesburg Stock Exchange","ZAR"
"9888","BAIDU","Kommunikation","Aktien","78.002.108,76","0,17","78.002.108,76","7.006.036,00","11,13","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Finanzwesen","Aktien","77.596.688,32","0,17","77.596.688,32","17.873.787,00","4,34","Indien","National Stock Exchange Of India","INR"
"NBK","NATIONAL BANK OF KUWAIT","Finanzwesen","Aktien","77.292.975,78","0,17","77.292.975,78","27.912.358,00","2,77","Kuwait","Kuwait Stock Exchange","KWD"
"9961","TRIP.COM GROUP","Zyklische Konsumgüter ","Aktien","77.253.305,16","0,17","77.253.305,16","1.913.202,00","40,38","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PKN","ORLEN","Energie","Aktien","77.059.746,00","0,17","77.059.746,00","1.899.355,00","40,57","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"2269","WUXI BIOLOGICS CAYMAN","Gesundheitsversorgung","Aktien","75.720.818,10","0,16","75.720.818,10","11.857.865,00","6,39","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","IT","Aktien","75.013.485,17","0,16","75.013.485,17","10.430.000,00","7,19","Thailand","Stock Exchange Of Thailand","THB"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Finanzwesen","Aktien","73.302.704,05","0,16","73.302.704,05","90.998.000,00","0,81","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2059","KING SLIDE WORKS","IT","Aktien","73.270.603,00","0,16","73.270.603,00","190.000,00","385,63","Taiwan","Taiwan Stock Exchange","TWD"
"2884","E.SUN FINANCIAL HOLDING","Finanzwesen","Aktien","72.707.386,57","0,16","72.707.386,57","49.008.314,00","1,48","Taiwan","Taiwan Stock Exchange","TWD"
"6160","BEONE MEDICINES AG","Gesundheitsversorgung","Aktien","71.631.644,54","0,15","71.631.644,54","2.663.492,00","26,89","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"028260","SAMSUNG C&T CORP","Industrie","Aktien","70.112.735,86","0,15","70.112.735,86","272.493,00","257,30","Korea","Korea Exchange (Stock Market)","KRW"
"MTN","MTN GROUP","Kommunikation","Aktien","70.068.813,72","0,15","70.068.813,72","5.754.465,00","12,18","Südafrika","Johannesburg Stock Exchange","ZAR"
"EAND","EMIRATES TELECOM","Kommunikation","Aktien","69.594.315,30","0,15","69.594.315,30","11.639.776,00","5,98","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
"7010","SAUDI TELECOM","Kommunikation","Aktien","69.121.275,76","0,15","69.121.275,76","5.949.910,00","11,62","Saudi-Arabien","Saudi Stock Exchange","SAR"
"2357","ASUSTEK COMPUTER INC","IT","Aktien","67.526.323,22","0,15","67.526.323,22","2.271.000,00","29,73","Taiwan","Taiwan Stock Exchange","TWD"
"6669","WIWYNN CORPORATION","IT","Aktien","67.512.607,39","0,15","67.512.607,39","1.008.183,00","66,96","Taiwan","Taiwan Stock Exchange","TWD"
"000270","KIA CORPORATION","Zyklische Konsumgüter ","Aktien","67.275.055,04","0,15","67.275.055,04","768.822,00","87,50","Korea","Korea Exchange (Stock Market)","KRW"
"QNBK","QATAR NATIONAL BANK","Finanzwesen","Aktien","67.068.711,89","0,15","67.068.711,89","15.073.900,00","4,45","Qatar","Qatar Exchange","QAR"
"2883","KGI FINANCIAL HOLDING","Finanzwesen","Aktien","67.060.448,87","0,15","67.060.448,87","53.923.197,00","1,24","Taiwan","Taiwan Stock Exchange","TWD"
