Holdings details

Morningstar Total Stock Market ETF (VTI)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BNTGD88,Winchester Bancorp Inc,WSBK,<0.01%,Regional Banks,US,---,"$1,712,534.40","132,140"
,BF4HN80,Spero Therapeutics Inc,SPRO,<0.01%,Biotechnology,US,---,"$1,703,090.72","1,395,976"
,2911683,Universal Electronics Inc,UEIC,<0.01%,Consumer Electronics,US,---,"$1,684,505.04","369,409"
,2201908,CompX International Inc,CIX,<0.01%,Office Services & Supplies,US,---,"$1,683,265.89","52,883"
,BNQQ6C6,SkinHealth Systems Inc,SKIN,<0.01%,Personal Care Products,US,---,"$1,679,197.12","2,483,652"
,BNGC679,Aureus Greenway Holdings Inc,PUSA,<0.01%,Leisure Facilities,US,---,"$1,676,506.56","426,592"
,BQB9YL6,Nomad Power Solutions Inc,NMAD,<0.01%,Biotechnology,US,---,"$1,668,834.00","403,100"
,BTY1RR7,CitroTech Inc,CITR,<0.01%,Office Services & Supplies,US,---,"$1,667,969.41","278,459"
,BDTYXN7,Coda Octopus Group Inc,CODA,<0.01%,Electronic Equipment & Instruments,US,---,"$1,666,933.20","165,864"
,BH3Z4P3,New Fortress Energy Inc,NFE,<0.01%,Oil & Gas Storage & Transportation,US,---,"$1,646,015.64","5,675,916"
,BYWLZL4,Blink Charging Co,BLNK,<0.01%,Electrical Components & Equipment,US,---,"$1,645,518.90","3,165,677"
,B7GMCG8,First Guaranty Bancshares Inc,FGBI,<0.01%,Regional Banks,US,---,"$1,645,243.14","193,786"
,BD2BZQ2,Global Self Storage Inc,SELF,<0.01%,Self-Storage REITs,US,---,"$1,642,326.00","312,824"
,BF11FD4,Granite Point Mortgage Trust Inc,GPMT,<0.01%,Mortgage REITs,US,---,"$1,629,846.46","1,537,591"
,BXJWH95,Apnimed Inc,APMD,<0.01%,Pharmaceuticals,US,---,"$1,621,882.50","61,786"
,BJJH0B5,Flexible Solutions International Inc,FSI,<0.01%,Specialty Chemicals,US,---,"$1,611,911.80","270,455"
,BS894Z7,Gloo Holdings Inc,GLOO,<0.01%,Application Software,US,---,"$1,605,432.75","485,025"
,B83R9K6,NetSol Technologies Inc,NTWK,<0.01%,Application Software,US,---,"$1,599,882.46","382,747"
,BX019Q2,Lincoln International Inc,LCLN,<0.01%,Investment Banking & Brokerage,US,---,"$1,593,880.76","63,149"
,BX564M3,Rare Earths Americas Inc,REA,<0.01%,Diversified Metals & Mining,US,---,"$1,590,101.64","113,094"
,B7TN3D2,Tilly's Inc,TLYS,<0.01%,Apparel Retail,US,---,"$1,586,576.88","404,739"
,BMFKSC6,AEye Inc,LIDR,<0.01%,Electronic Equipment & Instruments,US,---,"$1,584,870.20","1,378,148"
,BX86HQ5,Attovia Therapeutics Inc,ATTO,<0.01%,Biotechnology,US,---,"$1,583,022.20","73,973"
,2215341,Comtech Telecommunications Corp,CMTL,<0.01%,Communications Equipment,US,---,"$1,582,549.80","936,420"
,2431318,CPI Aerostructures Inc,CVU,<0.01%,Aerospace & Defense,US,---,"$1,581,604.92","301,833"
,2825115,River City Bank,RCBC,<0.01%,Regional Banks,US,---,"$1,572,249.12","30,732"
,BRF2YR4,Tenax Therapeutics Inc,TENX,<0.01%,Biotechnology,US,---,"$1,568,156.56","852,259"
,BMCMMG7,Where Food Comes From Inc,WFCF,<0.01%,Research & Consulting Services,US,---,"$1,564,820.40","118,547"
,BMTND59,Vivani Medical Inc,VANI,<0.01%,Health Care Equipment,US,---,"$1,544,355.33","1,111,047"
,BPT3606,Intellicheck Inc,IDN,<0.01%,Application Software,US,---,"$1,541,653.40","557,560"
,BPTH7B6,Neonc Technologies Holdings Inc,NTHI,<0.01%,Pharmaceuticals,US,---,"$1,534,378.82","310,603"
,BRKG716,Pathfinder Bancorp Inc,PBHC,<0.01%,Regional Banks,US,---,"$1,534,144.34","97,654"
,BRXYZ79,Ramaco Resources Inc,METCB,<0.01%,Steel,US,---,"$1,529,788.68","202,353"
,BZ1JM04,Odyssey Marine Exploration Inc,OMEX,<0.01%,Diversified Support Services,US,---,"$1,528,456.47","1,786,206"
,2618069,NLI Holdings Inc,NL,<0.01%,Office Services & Supplies,US,---,"$1,527,756.83","229,049"
,BXGPXX3,SCYNEXIS Inc,SCYX,<0.01%,Pharmaceuticals,US,---,"$1,523,420.55","291,285"
,2042163,Alpha Pro Tech Ltd,APT,<0.01%,Building Products,US,---,"$1,518,969.25","275,675"
,BSJQ7W5,XCF Global Inc,SAFX,<0.01%,Coal & Consumable Fuels,US,---,"$1,513,087.96","4,255,028"
,BR1G3G2,comScore Inc,SCOR,<0.01%,Advertising,US,---,"$1,497,273.75","285,195"
,BMX79K4,Laser Photonics Corp,LASE,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$1,493,442.72","1,037,113"
,BVWSCC4,Veru Inc,VERU,<0.01%,Pharmaceuticals,US,---,"$1,489,432.00","531,940"
,BS55MK9,Aptera Motors Corp,SEV,<0.01%,Automobile Manufacturers,US,---,"$1,482,231.18","625,414"
,BTMN1Z1,Public Policy Holding Co Inc,PPHC,<0.01%,Research & Consulting Services,US,---,"$1,478,565.16","136,399"
,BSKS6C3,XTI Aerospace Inc,XTIA,<0.01%,IT Consulting & Other Services,US,---,"$1,468,800.00","1,088,000"
,B021PD8,Solitario Resources Corp,XPL,<0.01%,Diversified Metals & Mining,US,---,"$1,463,000.01","1,870,844"
,BYTRT46,Optex Systems Holdings Inc,OPXS,<0.01%,Aerospace & Defense,US,---,"$1,460,236.32","148,398"
,BQT3G47,LeonaBio Inc,LONA,<0.01%,Pharmaceuticals,US,---,"$1,451,411.28","183,259"
,BLBM4T8,OPAL Fuels Inc,OPAL,<0.01%,Oil & Gas Refining & Marketing,US,---,"$1,449,309.04","728,296"
,BLGZCF4,NCS Multistage Holdings Inc,NCSM,<0.01%,Oil & Gas Equipment & Services,US,---,"$1,438,742.80","26,968"
,BNNL550,Lee Enterprises Inc,LEE,<0.01%,Publishing,US,---,"$1,428,464.00","178,558"
,BNVTCF5,Grabagun Digital Holdings Inc,PEW,<0.01%,Other Specialty Retail,US,---,"$1,417,972.14","605,971"
,BTZP079,Mount Logan Capital Inc,MLCI,<0.01%,Specialized Finance,US,---,"$1,416,117.18","441,158"
,BSY14M4,Atara Biotherapeutics Inc,ATRA,<0.01%,Biotechnology,US,---,"$1,411,949.40","158,646"
,BGMGBW6,aTyr Pharma Inc,ATYR,<0.01%,Biotechnology,US,---,"$1,409,423.98","2,650,788"
,BN2SCX9,Stem Inc,STEM,<0.01%,Electrical Components & Equipment,US,---,"$1,407,045.64","245,987"
,BN49PY2,Virtuix Holdings Inc,VTIX,<0.01%,"Technology Hardware, Storage & Peripherals",US,---,"$1,401,402.38","1,053,686"
,2180438,Cato Corp/The,CATO,<0.01%,Apparel Retail,US,---,"$1,397,430.54","535,414"
,BMHF2H2,Karyopharm Therapeutics Inc,KPTI,<0.01%,Biotechnology,US,---,"$1,396,121.74","677,729"
,BRCDPZ5,Standard Nuclear Inc,STDN,<0.01%,Coal & Consumable Fuels,US,---,"$1,392,725.61","86,451"
,BSKPBC9,Airship AI Holdings Inc,AISP,<0.01%,Systems Software,US,---,"$1,386,789.75","651,075"
,BP2BRR1,Playstudios Inc,MYPS,<0.01%,Interactive Home Entertainment,US,---,"$1,383,307.21","2,687,599"
,BD365C2,Sachem Capital Corp,SACH,<0.01%,Mortgage REITs,US,---,"$1,381,140.90","1,534,601"
,BT3F639,FG Nexus Inc,FGNX,<0.01%,Property & Casualty Insurance,US,---,"$1,376,885.45","168,943"
,BPGN7F1,Phunware Inc,PHUN,<0.01%,Application Software,US,---,"$1,365,648.96","656,562"
,BMBPL15,Biote Corp,BTMD,<0.01%,Pharmaceuticals,US,---,"$1,360,714.56","829,704"
,BVPKH55,ImageneBio Inc,IMA,<0.01%,Biotechnology,US,---,"$1,350,332.10","264,771"
,BNKH4B0,ONE Group Hospitality Inc/The,STKS,<0.01%,Restaurants,US,---,"$1,349,747.28","803,421"
,BNLYBJ7,TScan Therapeutics Inc,TCRX,<0.01%,Biotechnology,US,---,"$1,344,937.07","1,843,137"
,BP9N3W7,Neuraxis Inc,NRXS,<0.01%,Health Care Equipment,US,---,"$1,339,442.69","222,869"
,BRBR2D5,VirnetX Holding Corp,VHC,<0.01%,Application Software,US,---,"$1,336,857.40","113,293"
,BNKCG86,ElectroCore Inc,ECOR,<0.01%,Health Care Equipment,US,---,"$1,335,243.00","140,700"
,B43T7G6,DLH Holdings Corp,DLHC,<0.01%,Human Resource & Employment Services,US,---,"$1,328,431.61","305,738"
,BP828G4,Castellum Inc,CTM,<0.01%,IT Consulting & Other Services,US,---,"$1,322,463.10","2,189,871"
,2893974,TransAct Technologies Inc,TACT,<0.01%,"Technology Hardware, Storage & Peripherals",US,---,"$1,320,225.83","265,639"
,BVMTJ48,Kestrel Group Ltd,KG,<0.01%,Reinsurance,US,---,"$1,317,897.49","186,407"
,BPRBTG9,Rent the Runway Inc,RENT,<0.01%,Other Specialty Retail,US,---,"$1,308,453.08","367,543"
,BGDFSM1,Travelzoo,TZOO,<0.01%,Interactive Media & Services,US,---,"$1,306,704.96","201,652"
,2022239,Century Casinos Inc,CNTY,<0.01%,Casinos & Gaming,US,---,"$1,303,035.30","1,034,155"
,BLM7DY0,Sportsman's Warehouse Holdings Inc,SPWH,<0.01%,Other Specialty Retail,US,---,"$1,296,352.68","1,089,372"
,BNYGM31,MicroVision Inc,MVIS,<0.01%,Electronic Equipment & Instruments,US,---,"$1,290,920.96","713,216"
,BJXD2L3,Big Sky Industrial Inc,BSIN,<0.01%,Oil & Gas Exploration & Production,US,---,"$1,288,964.56","848,003"
,BV4J2H0,Xilio Therapeutics Inc,XLO,<0.01%,Biotechnology,US,---,"$1,274,838.00","142,440"
,BKV29H4,Bogota Financial Corp,BSBK,<0.01%,Regional Banks,US,---,"$1,274,277.85","138,283"
,BQZCPP2,BranchOut Food Inc,BOF,<0.01%,Packaged Foods & Meats,US,---,"$1,271,387.12","319,444"
,BV6NLY0,Lyntris Inc,LYNX,<0.01%,Aerospace & Defense,US,---,"$1,267,136.22","93,309"
,BNM9GL8,INNOVATE CORP,VATE,<0.01%,Construction & Engineering,US,---,"$1,267,061.76","170,304"
,BKSH7V2,BTCS Inc,BTCS,<0.01%,Application Software,US,---,"$1,265,199.84","930,294"
,BMGSDK2,Definitive Healthcare Corp,DH,<0.01%,Health Care Technology,US,---,"$1,261,316.90","1,327,702"
,BNZJKK2,Exodus Movement Inc,EXOD,<0.01%,Application Software,US,---,"$1,259,768.40","165,759"
,BPX4WX0,Telomir Pharmaceuticals Inc,TELO,<0.01%,Pharmaceuticals,US,---,"$1,255,716.00","1,121,175"
,BRBJGJ5,Boundless Bio Inc,BOLD,<0.01%,Biotechnology,US,---,"$1,250,958.61","445,181"
,BN6LX97,SANUWAVE Health Inc,SNWV,<0.01%,Health Care Equipment,US,---,"$1,242,535.77","264,933"
,C04JJC6,Reformation Inc,REF,<0.01%,Apparel Retail,US,---,"$1,238,573.43","86,553"
,BQ80FM0,IZEA Worldwide Inc,IZEA,<0.01%,Interactive Media & Services,US,---,"$1,236,741.92","406,823"
,2539728,LGL Group Inc/The,LGL,<0.01%,Electronic Components,US,---,"$1,229,995.68","165,322"
,BJVLKZ9,Filana Therapeutics Inc,FLNA,<0.01%,Pharmaceuticals,US,---,"$1,226,527.01","1,365,843"
,BYQQ3Q6,Zedge Inc,ZDGE,<0.01%,Interactive Media & Services,US,---,"$1,225,600.32","403,158"
,2703385,US Global Investors Inc,GROW,<0.01%,Asset Management & Custody Banks,US,---,"$1,218,683.40","369,298"
,BX86J25,Latigo Biotherapeutics Inc,LTGO,<0.01%,Pharmaceuticals,US,---,"$1,218,212.46","55,323"
,BTHWR44,Scilex Holding Co,SCLX,<0.01%,Pharmaceuticals,US,---,"$1,195,217.45","217,510"
,BQKRDP8,Cineverse Corp,CNVS,<0.01%,Movies & Entertainment,US,---,"$1,185,244.76","498,002"
,BPJPN12,Empire Petroleum Corp,EP,<0.01%,Oil & Gas Exploration & Production,US,---,"$1,184,434.36","374,821"
,2238940,Marchex Inc,MCHX,<0.01%,Advertising,US,---,"$1,183,560.81","653,901"
,BTY0848,Verrica Pharmaceuticals Inc,VRCA,<0.01%,Pharmaceuticals,US,---,"$1,181,789.70","216,445"
,2821544,Sono-Tek Corp,SOTK,<0.01%,Electronic Equipment & Instruments,US,---,"$1,180,237.77","222,267"
,BJ0CK86,Gossamer Bio Inc,GOSS,<0.01%,Biotechnology,US,---,"$1,174,858.78","6,910,934"
,2767013,Saga Communications Inc,SGA,<0.01%,Broadcasting,US,---,"$1,155,951.29","131,209"
,BT6M3W5,Nerdy Inc,NRDY,<0.01%,Education Services,US,---,"$1,153,602.45","115,245"
,BN4JLQ6,Spectral AI Inc,MDAI,<0.01%,Health Care Equipment,US,---,"$1,151,076.90","733,170"
,BYS3HH4,Champions Oncology Inc,CSBR,<0.01%,Life Sciences Tools & Services,US,---,"$1,148,705.15","229,971"
,BRBR1T4,MIND Technology Inc,MIND,<0.01%,Oil & Gas Equipment & Services,US,---,"$1,148,178.15","263,949"
,BTZF5M9,SkyAI Inc,SKYA,<0.01%,Health Care Supplies,US,---,"$1,145,603.59","836,207"
,BD6HJQ4,Heritage Global Inc,HGBL,<0.01%,Asset Management & Custody Banks,US,---,"$1,142,097.63","885,347"
,BNLYJ82,Rapid Micro Biosystems Inc,RPID,<0.01%,Life Sciences Tools & Services,US,---,"$1,141,495.68","750,984"
,BP2TPK4,Acrivon Therapeutics Inc,ACRV,<0.01%,Biotechnology,US,---,"$1,140,180.69","545,541"
,2143099,PetMed Express Inc,PETS,<0.01%,Other Specialty Retail,US,---,"$1,139,282.55","602,795"
,BNZHNZ2,BuzzFeed Inc,BZFD,<0.01%,Interactive Media & Services,US,---,"$1,132,107.69","951,351"
,BRJF7L4,Fluent Inc,FLNT,<0.01%,Advertising,US,---,"$1,130,043.44","328,501"
,B3VL8R5,Altisource Portfolio Solutions SA,ASPS,<0.01%,Real Estate Services,US,---,"$1,129,971.64","203,966"
,BJKGLW9,Inmune Bio Inc,INMB,<0.01%,Biotechnology,US,---,"$1,127,616.40","490,268"
,BK9M426,Star Equity Holdings Inc,STRR,<0.01%,Human Resource & Employment Services,US,---,"$1,127,566.00","105,380"
,2239794,Culp Inc,CULP,<0.01%,Textiles,US,---,"$1,125,902.40","335,090"
,BP92Z62,Elicio Therapeutics Inc,ELTX,<0.01%,Biotechnology,US,---,"$1,121,582.70","415,401"
,BPBKN60,JFB Construction Holdings,JFB,<0.01%,Construction & Engineering,US,---,"$1,113,295.50","234,378"
,BNGH209,FitLife Brands Inc,FTLF,<0.01%,Personal Care Products,US,---,"$1,111,258.65","110,573"
,BLBQL66,Paradium AI Inc,PAAI,<0.01%,Interactive Media & Services,US,---,"$1,105,989.15","1,140,195"
,BX7WLV7,Braveheart Bio Inc,BRVE,<0.01%,Pharmaceuticals,US,---,"$1,097,622.00","43,044"
,BP92744,Context Therapeutics Inc,CNTX,<0.01%,Pharmaceuticals,US,---,"$1,097,194.89","2,815,486"
,BW7ZN91,Starfighters Space Inc,FJET,<0.01%,Aerospace & Defense,US,---,"$1,096,227.48","330,189"
,B02T2D1,Franklin Street Properties Corp,FSP,<0.01%,Office REITs,US,---,"$1,090,660.33","2,694,319"
,BQVW415,Precision Optics Corp Inc/Mass,POCI,<0.01%,Health Care Equipment,US,---,"$1,078,465.80","250,806"
,BQ5JCN0,Workhorse Group Inc,WKHS,<0.01%,Automobile Manufacturers,US,---,"$1,067,484.60","311,220"
,BNBV5L8,Brand Engagement Network Inc,BNAI,<0.01%,IT Consulting & Other Services,US,---,"$1,067,231.81","94,780.8"
,BNC3DQ4,Kartoon Studios Inc,TOON,<0.01%,Movies & Entertainment,US,---,"$1,063,289.12","1,684,285"
,BHS7YD2,Ocean Power Technologies Inc,OPTT,<0.01%,Heavy Electrical Equipment,US,---,"$1,062,098.43","6,132,208"
,2536440,Reading International Inc,RDI,<0.01%,Movies & Entertainment,US,---,"$1,059,870.96","497,592"
,BMCZQ19,Skillsoft Corp,SKIL,<0.01%,Human Resource & Employment Services,US,---,"$1,055,770.40","153,455"
,BRX9WH3,5E Advanced Materials Inc,FEAM,<0.01%,Diversified Metals & Mining,US,---,"$1,054,275.20","658,922"
,BMGC348,Mobile Infrastructure Corp,BEEP,<0.01%,Environmental & Facilities Services,US,---,"$1,045,820.80","344,020"
,BPW6VV8,Zone Frontier Inc,ZONE,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$1,045,757.67","6,943,942"
,BVBQPK8,LivePerson Inc,LPSN,<0.01%,Application Software,US,---,"$1,045,031.70","337,107"
,2418429,Manhattan Bridge Capital Inc,LOAN,<0.01%,Mortgage REITs,US,---,"$1,041,284.00","260,321"
,2354460,Fuel Tech Inc,FTEK,<0.01%,Environmental & Facilities Services,US,---,"$1,039,056.60","731,730"
,BPBSGY3,TechPrecision Corp,TPCS,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$1,036,227.99","187,383"
,BPW7PJ7,Kalaris Therapeutics Inc,KLRS,<0.01%,Biotechnology,US,---,"$1,031,561.48","255,337"
,BQPDJX1,SunPower Inc,SPWR,<0.01%,Electrical Components & Equipment,US,---,"$1,024,551.08","3,659,111"
,BKP4P23,DocGo Inc,DCGO,<0.01%,Health Care Services,US,---,"$1,015,190.12","2,664,541"
,BX86HY3,Blossomhill Therapeutics Inc,BLSM,<0.01%,Pharmaceuticals,US,---,"$1,012,301.10","55,317"
,BPJMTC6,Seres Therapeutics Inc,MCRB,<0.01%,Biotechnology,US,---,"$1,012,294.70","206,170"
,BFYNPH1,VirTra Inc,VTSI,<0.01%,Aerospace & Defense,US,---,"$1,002,056.10","324,290"
,BV4J1X9,Harvard Bioscience Inc,HBIO,<0.01%,Life Sciences Tools & Services,US,---,"$1,001,341.70","123,470"
,BK78976,Stabilis Solutions Inc,SLNG,<0.01%,Oil & Gas Storage & Transportation,US,---,"$997,788.00","166,298"
,BT9MX88,Hyperion DeFi Inc,HYPD,<0.01%,Pharmaceuticals,US,---,"$994,388.94","290,757"
,BSF1QJ4,Clene Inc,CLNN,<0.01%,Biotechnology,US,---,"$989,240.68","231,131"
,BVBFGJ1,LiveOne Inc,LVO,<0.01%,Movies & Entertainment,US,---,"$979,694.37","253,151"
,B86P8R7,Destination XL Group Inc,DXLG,<0.01%,Apparel Retail,US,---,"$978,684.08","1,599,157"
,2446668,Air T Inc,AIRT,<0.01%,Air Freight & Logistics,US,---,"$978,135.20","30,856"
,BVDKGD8,Pixelworks Inc,PXLW,<0.01%,Application Software,US,---,"$969,357.00","141,100"
,BQXST38,Precipio Inc,PRPO,<0.01%,Health Care Services,US,---,"$965,937.96","34,884"
,BXGPZH1,Eloxx Pharmaceuticals Inc,ELOX,<0.01%,Pharmaceuticals,US,---,"$963,872.52","57,476"
,BD95VY7,GEE Group Inc,JOB,<0.01%,Human Resource & Employment Services,US,---,"$961,997.51","3,749,016"
,BP9N0F9,Bridger Aerospace Group Holdings Inc,BAER,<0.01%,Diversified Support Services,US,---,"$953,248.60","874,540"
,BLFH013,Actinium Pharmaceuticals Inc,ATNM,<0.01%,Biotechnology,US,---,"$936,928.14","918,557"
,B1G0F83,eHealth Inc,EHTH,<0.01%,Insurance Brokers,US,---,"$925,527.63","819,051"
,BRBR2C4,Prairie Operating Co,PROP,<0.01%,Oil & Gas Exploration & Production,US,---,"$918,835.09","1,805,177"
,---,TOBIRA THERAPEUTICS INC - CVR 2018,---,<0.01%,---,US,---,"$910,534.53","201,001"
,BM92RK9,Instil Bio Inc,TIL,<0.01%,Biotechnology,US,---,"$905,529.12","118,992"
,BQLSC31,Drilling Tools International Corp,DTI,<0.01%,Oil & Gas Equipment & Services,US,---,"$901,051.06","364,798"
,BN4F8R4,Bluerock Homes Trust Inc,BHM,<0.01%,Single-Family Residential REITs,US,---,"$896,515.20","106,728"
,2160991,CVD Equipment Corp,CVV,<0.01%,Semiconductor Materials & Equipment,US,---,"$896,178.80","131,791"
,BV2J1Z3,Park Dental Partners Inc,PARK,<0.01%,Health Care Services,US,---,"$893,603.64","43,086"
,BS0CDZ7,Eva Live Inc,GOAI,<0.01%,Advertising,US,---,"$892,933.60","388,232"
,BN2XDP3,KLX Energy Services Holdings Inc,KLXE,<0.01%,Oil & Gas Equipment & Services,US,---,"$888,429.08","576,902"
,BTJZ9X4,Kyntra Bio Inc,KYNB,<0.01%,Biotechnology,US,---,"$888,312.62","114,179"
,2237680,Crown Crafts Inc,CRWS,<0.01%,Textiles,US,---,"$883,813.38","313,409"
,BPSQP43,Metagenomi Therapeutics Inc,MGX,<0.01%,Biotechnology,US,---,"$874,860.26","741,407"
,BW5ZKV4,Forum Markets Inc,FRMM,<0.01%,Biotechnology,US,---,"$859,963.23","151,669"
,BT9RPL0,GameSquare Holdings Inc,GAME,<0.01%,Interactive Media & Services,US,---,"$853,520.85","299,481"
,BQFN0K5,Grace Therapeutics Inc,GRCE,<0.01%,Pharmaceuticals,US,---,"$852,745.50","400,350"
,BQC8ZZ3,Grove Collaborative Holdings Inc,GROV,<0.01%,Other Specialty Retail,US,---,"$852,211.68","871,293"
,BV9HFC5,Rave Restaurant Group Inc,RAVE,<0.01%,Restaurants,US,---,"$849,935.20","270,680"
,BJM0G57,Tela Bio Inc,TELA,<0.01%,Health Care Supplies,US,---,"$848,462.36","1,149,678"
,BJK16Y1,Celularity Inc,CELU,<0.01%,Biotechnology,US,---,"$841,840.65","455,049"
,BRYQZY1,Marathon Bancorp Inc,MBBC,<0.01%,Regional Banks,US,---,"$840,972.00","55,400"
,BTLNGN5,Beeline Holdings Inc,BLNE,<0.01%,Commercial & Residential Mortgage Finance,US,---,"$837,063.65","841,270"
,BF7JLM3,Vince Holding Corp,VNCE,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$836,880.84","122,351"
,BTY4S28,Freecast Inc,CAST,<0.01%,Movies & Entertainment,US,---,"$825,932.80","645,260"
,BV6KRV0,Vivid Seats Inc,SEAT,<0.01%,Movies & Entertainment,US,---,"$824,209.00","140,650"
,BLGXXZ5,Werewolf Therapeutics Inc,HOWL,<0.01%,Biotechnology,US,---,"$822,194.05","873,745"
,B1R2HW6,Accuray Inc,ARAY,<0.01%,Health Care Equipment,US,---,"$821,210.40","3,122,473"
,BF950B1,TTEC Holdings Inc,TTEC,<0.01%,Data Processing & Outsourced Services,US,---,"$818,872.66","611,099"
,BFN64W9,Harte Hanks Inc,HHS,<0.01%,Advertising,US,---,"$818,430.21","189,891"
,BKM3D96,NanoViricides Inc,NNVC,<0.01%,Biotechnology,US,---,"$816,857.50","653,486"
,BNQS7N0,GREAT ELM GROUP INC,GEG,<0.01%,Asset Management & Custody Banks,US,---,"$803,726.00","365,330"
,BQ3R1Y0,Getty Images Holdings Inc,GETY,<0.01%,Interactive Media & Services,US,---,"$797,826.49","3,281,886"
,2491248,Key Tronic Corp,KTCC,<0.01%,Electronic Manufacturing Services,US,---,"$790,720.28","315,028"
,BVN2C69,NextCure Inc,NXTC,<0.01%,Biotechnology,US,---,"$787,733.64","123,276"
,---,INHIBRX INC - CVR (MAY 2024),---,<0.01%,Biotechnology,US,---,"$787,540.01","1,216,278"
,BRJN7Z2,Spruce Power Holding Corp,SPRU,<0.01%,Renewable Electricity,US,---,"$787,168.74","423,209"
,BR2P595,Shimmick Corp,SHIM,<0.01%,Construction & Engineering,US,---,"$782,191.52","221,584"
,BLHMSZ6,Elutia Inc,ELUT,<0.01%,Biotechnology,US,---,"$777,631.24","899,932"
,BQT1YT2,MarketWise Inc,MKTW,<0.01%,Financial Exchanges & Data,US,---,"$776,610.00","43,145"
,BD3BXS9,Quest Resource Holding Corp,QRHC,<0.01%,Environmental & Facilities Services,US,---,"$766,399.20","547,428"
,BNXM6V6,FTC Solar Inc,FTCI,<0.01%,Electrical Components & Equipment,US,---,"$764,725.25","325,415"
,2067092,Aware Inc/MA,AWRE,<0.01%,Application Software,US,---,"$757,510.80","631,259"
,2570534,United Bancorp Inc/OH,UBCP,<0.01%,Regional Banks,US,---,"$756,488.72","48,932"
,BTCK7C1,Aligos Therapeutics Inc,ALGS,<0.01%,Biotechnology,US,---,"$754,592.20","128,770"
,B0146X5,AMCON Distributing Co,DIT,<0.01%,Distributors,US,---,"$753,955.90","10,702"
,BVK8VB8,Hyperscale Data Inc,GPUS,<0.01%,Industrial Conglomerates,US,---,"$752,672.12","2,687,155"
,BSD5QN2,Birchtech Corp,BCHT,<0.01%,Environmental & Facilities Services,US,---,"$751,545.60","626,288"
,BG13NM2,Jerash Holdings US Inc,JRSH,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$746,374.73","132,571"
,BT8V1F9,CEL-SCI Corp,CVM,<0.01%,Biotechnology,US,---,"$740,244.42","456,941"
,2356745,Franklin Wireless Corp,FKWL,<0.01%,Communications Equipment,US,---,"$734,948.00","296,350"
,BL1KDQ2,Battalion Oil Corp,BATL,<0.01%,Oil & Gas Exploration & Production,US,---,"$732,574.80","542,648"
,BVK6XS3,Wheels Up Experience Inc,UP,<0.01%,Passenger Airlines,US,---,"$729,021.54","164,937"
,BRXCWY9,Ascent Solar Technologies Inc,ASTI,<0.01%,Semiconductors,US,---,"$724,677.12","251,624"
,BPYS4H9,QT Imaging Holdings Inc,QTI,<0.01%,Health Care Equipment,US,---,"$722,362.20","246,540"
,BZ159P6,First US Bancshares Inc,FUSB,<0.01%,Regional Banks,US,---,"$721,108.00","43,970"
,BM8KXC8,EON Resources Inc,EONR,<0.01%,Oil & Gas Exploration & Production,US,---,"$718,707.60","1,367,144"
,2464013,InterGroup Corp/The,INTG,<0.01%,Real Estate Operating Companies,US,---,"$718,687.76","20,279"
,2799384,Siebert Financial Corp,SIEB,<0.01%,Investment Banking & Brokerage,US,---,"$715,450.50","322,275"
,BMCGGS9,Bayfirst Financial Corp,BAFN,<0.01%,Regional Banks,US,---,"$715,162.50","110,025"
,B3D3125,Mastech Digital Inc,MHH,<0.01%,Human Resource & Employment Services,US,---,"$710,014.08","95,432"
,BM8Z9M5,OS Therapies Inc,OSTX,<0.01%,Biotechnology,US,---,"$703,234.35","416,115"
,BPXZLR0,Rockwell Medical Inc,RMTI,<0.01%,Health Care Supplies,US,---,"$702,128.52","84,492"
,2226332,Sypris Solutions Inc,SYPR,<0.01%,Automotive Parts & Equipment,US,---,"$701,435.28","385,404"
,BMDCQG4,Lument Finance Trust Inc,LFT,<0.01%,Mortgage REITs,US,---,"$699,815.36","963,933"
,BN2BDY6,Laird Superfood Inc,LSF,<0.01%,Packaged Foods & Meats,US,---,"$697,887.03","167,359"
,2323352,Milestone Scientific Inc,MLSS,<0.01%,Health Care Equipment,US,---,"$691,715.69","1,450,746"
,BMGLD34,Lantern Pharma Inc,LTRN,<0.01%,Biotechnology,US,---,"$686,921.55","338,385"
,BW9KCV9,Buda Juice Inc,BUDA,<0.01%,Packaged Foods & Meats,US,---,"$683,570.00","80,420"
,BN49GP0,HeartBeam inc,BEAT,<0.01%,Health Care Equipment,US,---,"$680,748.94","1,448,402"
,2342562,Flanigan's Enterprises Inc,BDL,<0.01%,Restaurants,US,---,"$675,537.31","14,413"
,BVK47S5,Solidion Technology Inc,STI,<0.01%,Electrical Components & Equipment,US,---,"$675,174.00","85,900"
,BD0R8F2,Gaia Inc,GAIA,<0.01%,Movies & Entertainment,US,---,"$672,854.52","431,317"
,BMW5HN8,Creative Realities Inc,CREX,<0.01%,Advertising,US,---,"$668,167.50","244,750"
