Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"ERO","ERO COPPER","Materials","Equity","32,275,943.91","0.09","32,275,943.91","693,063.00","46.57","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAR.UN","CANADIAN APARTMENT PROPERTIES REAL","Real Estate","Equity","32,233,910.85","0.09","32,233,910.85","1,018,449.00","31.65","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FCR.UN","FIRST CAPITAL REALTY REAL ESTATE I","Real Estate","Equity","31,506,657.60","0.09","31,506,657.60","1,404,040.00","22.44","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EFR","ENERGY FUELS","Energy","Equity","29,321,020.17","0.09","29,321,020.17","1,748,421.00","16.77","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RUS","RUSSEL METALS","Industrials","Equity","29,138,266.79","0.09","29,138,266.79","365,737.00","79.67","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BDT","BIRD CONSTRUCTION","Industrials","Equity","28,625,548.32","0.08","28,625,548.32","367,371.00","77.92","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BTE","BAYTEX ENERGY","Energy","Equity","28,382,213.58","0.08","28,382,213.58","4,180,002.00","6.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TKO","TREKOR METALS","Materials","Equity","28,360,571.68","0.08","28,360,571.68","2,419,844.00","11.72","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EDR","ENDEAVOUR SILVER CORP","Materials","Equity","28,118,104.64","0.08","28,118,104.64","1,974,586.00","14.24","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CEU","CES ENERGY SOLUTIONS CORP","Energy","Equity","26,806,892.00","0.08","26,806,892.00","1,407,925.00","19.04","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CHP.UN","CHOICE PROPERTIES REAL ESTATE INVE","Real Estate","Equity","26,797,736.42","0.08","26,797,736.42","1,803,347.00","14.86","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EFX","ENERFLEX","Energy","Equity","25,608,004.30","0.08","25,608,004.30","805,030.00","31.81","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LNR","LINAMAR","Consumer Discretionary","Equity","25,541,050.58","0.07","25,541,050.58","256,462.00","99.59","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SEA","SEABRIDGE GOLD","Materials","Equity","25,330,208.20","0.07","25,330,208.20","585,805.00","43.24","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SVM","SILVERCORP METALS INC","Materials","Equity","24,996,712.34","0.07","24,996,712.34","1,468,667.00","17.02","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SJ","STELLA JONES","Materials","Equity","24,784,374.40","0.07","24,784,374.40","360,238.00","68.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SII","SPROTT INC","Financials","Equity","24,762,077.58","0.07","24,762,077.58","141,191.00","175.38","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DIR.UN","DREAM INDUSTRIAL REAL ESTATE INVES","Real Estate","Equity","23,652,412.14","0.07","23,652,412.14","1,868,279.00","12.66","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TPZ","TOPAZ ENERGY","Energy","Equity","23,086,663.26","0.07","23,086,663.26","764,206.00","30.21","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
